vrefdes,vpin,refdes,pin
VCOMP0,0,J1,1
VCOMP0,1,J1,2
VCOMP1,0,J7,1
VCOMP1,1,J7,2
VCOMP2,0,J1,1
VCOMP2,1,J1,2
VCOMP3,0,J15,1
VCOMP3,1,J15,2
VCOMP4,0,J13,pdna_pin_1_1
VCOMP4,1,J13,pdna_pin_1_2
VCOMP4,2,J13,pdna_pin_2_1
VCOMP4,3,J13,pdna_pin_2_2
VCOMP5,0,Q18,8
VCOMP5,1,Q18,7
VCOMP5,2,Q18,6
VCOMP5,3,Q18,5
VCOMP5,4,Q18,2
VCOMP5,5,Q18,3
VCOMP5,6,Q18,1
VCOMP6,0,Q19,8
VCOMP6,1,Q19,7
VCOMP6,2,Q19,6
VCOMP6,3,Q19,5
VCOMP6,4,Q19,2
VCOMP6,5,Q19,3
VCOMP6,6,Q19,1
VCOMP7,0,R63,1
VCOMP7,1,R63,2
VCOMP8,0,R63,2
VCOMP8,1,R63,1
VCOMP9,0,Q20,5
VCOMP9,1,Q20,6
VCOMP9,2,Q20,7
VCOMP9,3,Q20,8
VCOMP9,4,Q20,1
VCOMP9,5,Q20,2
VCOMP9,6,Q20,3
VCOMP10,0,J13,pdna_pin_2_1
VCOMP10,1,J13,pdna_pin_2_2
VCOMP10,2,J13,pdna_pin_1_1
VCOMP10,3,J13,pdna_pin_1_2
