Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C1,16.75,6.75,TopLayer,0
C2,13.75,6.75,TopLayer,180
C4,30.25,14,TopLayer,180
C5,30.25,15.75,TopLayer,180
C6,30.25,17.25,TopLayer,180
C7,12.5,34.1,TopLayer,180
C8,30,26.75,TopLayer,180
C9,30,25,TopLayer,180
C10,30,23.25,TopLayer,180
C11,9.25,30.5,TopLayer,0
C12,17.75,28.6,TopLayer,0
C13,17.75,27.1,TopLayer,0
C14,17.75,25.6,TopLayer,0
C15,17.75,23.85,TopLayer,0
C16,13,24.1,TopLayer,180
C17,13.5,26.35,TopLayer,180
C18,13.5,28.6,TopLayer,180
C19,17.75,21.5,TopLayer,90
C20,23,21.5,TopLayer,90
C21,21.5,25.5,TopLayer,180
C22,21.5,27,TopLayer,180
C23,22.75,29,TopLayer,180
C24,27.75,30.75,TopLayer,180
C25,27.75,32.25,TopLayer,180
C26,29.5,35.05,TopLayer,270
C27,27.75,38.25,TopLayer,0
C28,45.5,65.75,TopLayer,90
C29,54,65.75,TopLayer,90
C30,52.5,65.75,TopLayer,90
C31,49,70.25,TopLayer,0
C32,52,70.25,TopLayer,180
C33,26.2,44,TopLayer,270
C34,24.4,44,TopLayer,270
C35,22.75,44,TopLayer,270
C36,16.5,44,TopLayer,270
C37,61.5,63,TopLayer,270
C38,21.525,34.75,TopLayer,180
C39,21.525,36.75,TopLayer,180
C40,16.5,39.75,TopLayer,270
C41,68,30.25,TopLayer,180
C43,50.75,47.25,TopLayer,270
C44,49.25,47.25,TopLayer,270
C45,64.25,45.5,TopLayer,180
C46,60,32,TopLayer,90
C47,52.5,32.75,TopLayer,0
C48,44.75,38.4041,TopLayer,270
C49,46.25,38.4041,TopLayer,270
C50,47.75,38.4041,TopLayer,270
C51,39.75,46.25,TopLayer,180
C52,40.25,36.25,TopLayer,0
C53,45.75,44.75,TopLayer,0
C54,45.75,43.25,TopLayer,0
C57,50,56.5,TopLayer,180
C58,53,56.5,TopLayer,0
C59,47.75,33.25,TopLayer,90
C61,32.75,67.75,TopLayer,90
C62,32.75,63.25,TopLayer,270
C63,24,8,TopLayer,180
C64,58.45,32,TopLayer,90
C65,64.25,44,TopLayer,180
C55A,12.75,71.75,TopLayer,180
C56A,15.5,69,TopLayer,90
C60A,37.75,70.25,TopLayer,0
C55B,3.75,71.25,TopLayer,180
C56B,6.5,68.5,TopLayer,90
C60B,37.25,60.25,TopLayer,90
C60C,40.25,60.25,TopLayer,90
C60D,26.25,70.25,TopLayer,0
C60E,41,70.25,TopLayer,180
C60F,34.25,60.25,TopLayer,90
C60G,29.25,70.25,TopLayer,180
J1,69.275,57.25,TopLayer,90
LED1,17.25,15.6,TopLayer,0
LED2,13.25,15.6,TopLayer,180
LED3,8.75,35.25,TopLayer,0
LED4,27.25,24.75,TopLayer,90
LED5,13.15,19.25,TopLayer,180
LED6,67.75,39.75,TopLayer,90
LED7,31,44.5,TopLayer,270
LED8,8.75,40.5,TopLayer,0
LED9,8.75,37.75,TopLayer,0
MH1,70,5,TopLayer,0
MH2,70,85,TopLayer,0
MH3,5,85,TopLayer,0
MH4,5,5,TopLayer,0
Q2,67.25,33,TopLayer,270
Q3,71,33,TopLayer,270
Q4,22.25,15.75,TopLayer,0
Q5,65,40.75,TopLayer,0
Q6,24.5,3.5,TopLayer,270
Q1A,19.25,70.75,TopLayer,0
Q1B,10.25,70.25,TopLayer,0
R1,16.25,12,TopLayer,270
R2,17.75,12,TopLayer,270
R3,11.75,12,TopLayer,270
R4,14.75,12,TopLayer,90
R5,13.25,12,TopLayer,90
R6,26.25,17.25,TopLayer,0
R8,26.25,20.25,TopLayer,180
R9,26.25,18.75,TopLayer,0
R10,9.25,33.5,TopLayer,180
R11,9.25,32,TopLayer,0
R12,9.25,27.5,TopLayer,0
R13,9.25,29,TopLayer,0
R14,12.5,35.6,TopLayer,180
R15,30,28.25,TopLayer,180
R16,41.25,10.75,TopLayer,270
R17,42.7,10.75,TopLayer,270
R18,16.5,17.75,TopLayer,0
R19,16.5,19.25,TopLayer,0
R21,12.75,17.75,TopLayer,180
R22,27.113,28.5,TopLayer,270
R23,47,55.5,TopLayer,90
R24,45.5,55.5,TopLayer,90
R25,45.5,59.75,TopLayer,90
R26,47,59.75,TopLayer,90
R27,48.5,59.75,TopLayer,90
R28,49,71.75,TopLayer,0
R29,52,71.75,TopLayer,180
R30,27.8,44,TopLayer,90
R31,14.25,44,TopLayer,270
R32,12.75,44,TopLayer,90
R33,61.75,52.5,TopLayer,180
R34,60.5,60.75,TopLayer,0
R35,21.5,33,TopLayer,0
R36,71.7,20.25,TopLayer,0
R37,12.75,39.75,TopLayer,90
R38,14.25,39.75,TopLayer,270
R39,44.75,33.25,TopLayer,270
R40,46.25,33.25,TopLayer,90
R46,29.25,44,TopLayer,270
R47,9,42.25,TopLayer,180
R48,9,43.75,TopLayer,0
R49,67.475,35.75,TopLayer,180
R50,55.75,59,TopLayer,180
R51,55.75,60.5,TopLayer,180
R52,43.25,33.25,TopLayer,270
R53,45.75,47.25,TopLayer,0
R54,70.5,39.75,TopLayer,270
R55,67.75,43.5,TopLayer,270
R56,71.225,35.75,TopLayer,0
R57,53,51.25,TopLayer,0
R59,24.75,14,TopLayer,0
R60,24,6.25,TopLayer,180
R61,27,6.25,TopLayer,180
R63,27.75,40.25,TopLayer,0
R64,27.75,41.75,TopLayer,180
R65,27.8,3.75,TopLayer,270
R66,71.7,26.25,TopLayer,180
R67,71.7,18.75,TopLayer,180
R68,71.7,24.75,TopLayer,0
R69,71.7,21.75,TopLayer,0
R70,71.7,23.25,TopLayer,0
R41A,13.5,65.35,TopLayer,90
R42A,12,65.35,TopLayer,90
R43A,15.75,71.75,TopLayer,0
R44A,15,65.35,TopLayer,270
R45A,17.3,65,TopLayer,90
R58A,37.75,71.75,TopLayer,0
R62A,37.75,73.25,TopLayer,180
R41B,4.4,64.95,TopLayer,90
R42B,2.9,64.95,TopLayer,90
R43B,6.75,71.25,TopLayer,0
R44B,5.9,64.95,TopLayer,270
R45B,8.5,64.5,TopLayer,90
R58B,38.75,60.25,TopLayer,270
R62B,35.75,60.25,TopLayer,270
R58C,41.75,60.25,TopLayer,270
R62C,41.75,57.25,TopLayer,270
R58D,26.25,71.75,TopLayer,0
R62D,26.25,73.25,TopLayer,180
R58E,41,71.75,TopLayer,180
R62E,41,73.25,TopLayer,0
R58F,32.75,60.25,TopLayer,270
R62F,32.75,57.25,TopLayer,270
R58G,29.25,71.75,TopLayer,180
R62G,29.25,73.25,TopLayer,0
S1,40.026,29.1196,TopLayer,90
TP1,34.75,25.75,TopLayer,270
TP2,4.5,33.75,TopLayer,90
TP3,33.25,40.75,TopLayer,90
TP4,15,3.5,TopLayer,0
TP5,34.75,30.5,TopLayer,90
TP6,4.5,38.5,TopLayer,90
TP7,4.5,43.25,TopLayer,90
TP8,4.5,29,TopLayer,90
TP9,19.5,13.75,TopLayer,90
TP10,47.1,73.25,TopLayer,90
TP11,53.9,73.25,TopLayer,90
TP12,56.2,72.25,TopLayer,90
TP13,41.526,23.8,TopLayer,90
TP14,43.4,45.9,TopLayer,90
TP15,43.4,42.6,TopLayer,90
TP16,40.25,34.5,TopLayer,90
TP17,37,46.25,TopLayer,90
TP18,60.75,72.25,TopLayer,0
TP19,58.25,72.25,TopLayer,0
TP20,71,30.3,TopLayer,90
TP21,73.3,35.75,TopLayer,90
TP24,64.25,70.25,TopLayer,180
TP25,16.5,36.5,TopLayer,180
TP26,36.5,21,TopLayer,270
TP27,42.75,51.25,TopLayer,270
TP30,65,55,TopLayer,90
TP31,59.75,55,TopLayer,90
TP32,61.5,55,TopLayer,90
TP33,63.25,55,TopLayer,90
TP22A,15,74.25,TopLayer,90
TP23A,17.2,74.25,TopLayer,90
TP22B,5.9,73.75,TopLayer,90
TP23B,8.4,73.75,TopLayer,90
U1,56.0379,40.4037,TopLayer,0
U2,15.2504,9.0002,TopLayer,180
U3,29.2,20.1,TopLayer,90
U4,12.5,31.85,TopLayer,90
U5,20.25,19.75,TopLayer,90
U6,27,35.25,TopLayer,270
U7,49.0007,65.2496,TopLayer,90
U8,19.75,44.25,TopLayer,180
U9,58.25,65.25,TopLayer,270
U10,19.75,39.75,TopLayer,180
U12,51.5,53.75,TopLayer,0
U13,24.75,11,TopLayer,90
U14,38.75,65.5,TopLayer,90
U15,26.75,65.5,TopLayer,270
U11A,13.5,69,TopLayer,90
U11B,4.5,68.5,TopLayer,90
Y1,48.0385,43.4041,TopLayer,270
Y3,59.5,70.25,TopLayer,180
